id,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max
2008-03-16-37.8497144.968,37.3,18.4,27.4,0.0,20.5
2008-03-232.76083101.738,28.7,22.7,25.2,9.6,8.5
2008-04-0626.032550.5106,24.7,20.5,23.3,0.0,24.3
2008-04-2741.572.26111,20.1,10.5,15.3,0.0,12.8
2008-05-1140.951729.405,16.1,7.5,12.2,0.0,16.9
2008-05-2543.73477.42056,20.6,14.0,18.5,7.4,17.4
2008-06-0845.5-73.5228,29.1,19.0,23.9,4.5,22.3
2008-06-2246.86423.16361,27.9,17.9,22.7,0.5,10.3
2008-07-0652.0786-1.01694,18.0,11.5,13.9,11.8,31.1
2008-07-2049.32788.56583,22.5,12.5,17.5,0.0,19.3
2008-08-0347.578919.2486,27.1,18.6,22.8,0.0,12.6
2008-08-2439.4589-0.331667,30.5,21.2,25.5,0.0,23.0
2008-09-0750.43725.97139,15.4,11.2,12.9,2.1,27.0
2008-09-1445.61569.28111,16.3,12.8,14.5,6.1,7.9
2008-09-281.2914103.864,28.9,25.9,27.6,0.4,15.5
2008-10-1235.3717138.927,17.5,12.2,14.4,0.1,7.1
2008-10-1931.3389121.22,27.0,20.1,22.6,0.9,8.8
2008-11-02-23.7036-46.6997,27.4,15.9,21.0,8.8,17.3
2007-03-18-37.8497144.968,22.5,12.9,16.7,0.0,15.9
2007-04-082.76083101.738,29.5,23.9,26.3,4.5,7.6
2007-04-1526.032550.5106,25.1,22.9,23.9,0.0,31.6
2007-05-1341.572.26111,24.9,12.7,19.7,0.1,21.4
2007-05-2743.73477.42056,20.3,15.7,18.1,3.3,12.8
2007-06-1045.5-73.5228,24.7,13.8,19.6,0.4,8.7
2007-06-1739.795-86.2347,33.1,21.7,27.9,0.0,10.0
2007-07-0146.86423.16361,21.5,14.7,18.2,4.2,10.9
2007-07-0852.0786-1.01694,17.2,7.4,13.4,0.0,14.0
2007-07-2250.33566.9475,17.2,8.6,13.6,0.1,21.8
2007-08-0547.578919.2486,26.0,15.6,21.0,0.0,20.0
2007-08-2640.951729.405,33.0,22.0,27.3,0.3,20.5
2007-09-0945.61569.28111,25.0,11.8,19.6,0.0,9.4
2007-09-1650.43725.97139,18.5,9.5,15.0,0.0,18.4
2007-09-3035.3717138.927,16.2,13.7,14.3,11.6,8.0
2007-10-0731.3389121.22,26.9,20.5,24.1,58.6,38.7
2007-10-21-23.7036-46.6997,32.4,18.4,24.2,2.0,17.6
2006-03-1226.032550.5106,20.7,17.4,18.8,0.0,34.9
2006-03-192.76083101.738,28.3,24.0,26.2,8.4,11.6
2006-04-02-37.8497144.968,16.6,9.3,13.2,0.0,17.3
2006-04-2344.343911.7167,23.3,10.8,17.3,0.0,10.2
2006-05-0750.33566.9475,17.2,8.1,13.3,0.0,18.3
2006-05-1441.572.26111,22.9,13.0,18.3,0.0,16.6
2006-05-2843.73477.42056,22.4,17.4,20.1,0.0,11.6
2006-06-1152.0786-1.01694,23.9,14.3,19.6,0.0,12.5
2006-06-2545.5-73.5228,26.5,15.0,21.0,0.0,9.1
2006-07-0239.795-86.2347,32.2,22.2,26.9,0.0,19.9
2006-07-1646.86423.16361,32.9,20.9,27.1,0.0,11.1
2006-07-3049.32788.56583,30.8,19.3,25.2,0.3,15.2
2006-08-0647.578919.2486,18.9,14.4,16.6,3.9,17.1
2006-08-2740.951729.405,33.0,20.8,27.1,0.0,12.4
2006-09-1045.61569.28111,24.7,16.9,20.2,0.0,8.2
2006-10-0131.3389121.22,24.0,19.0,21.3,0.4,9.3
2006-10-0834.8431136.541,20.6,14.9,17.3,0.0,37.8
2006-10-22-23.7036-46.6997,21.2,9.9,15.0,0.5,18.3
2005-03-06-37.8497144.968,18.5,12.1,15.3,0.1,17.1
2005-03-202.76083101.738,32.3,24.7,28.1,0.0,15.3
2005-04-0326.032550.5106,29.2,22.7,26.1,0.0,37.2
2005-04-2444.343911.7167,19.2,9.2,14.0,5.1,15.8
2005-05-0841.572.26111,20.3,11.9,16.3,0.0,16.3
2005-05-2243.73477.42056,20.9,16.0,18.7,0.1,9.6
2005-05-2950.33566.9475,21.3,10.6,16.4,7.0,15.9
2005-06-1245.5-73.5228,30.2,21.7,25.6,0.5,16.0
2005-06-1939.795-86.2347,22.8,14.6,19.1,0.0,11.5
2005-07-0346.86423.16361,28.8,15.7,23.5,0.0,14.6
2005-07-1052.0786-1.01694,25.0,12.7,19.3,0.0,13.9
2005-07-2449.32788.56583,22.5,14.1,19.1,7.6,15.6
2005-07-3147.578919.2486,33.6,19.9,26.9,6.7,20.1
2005-08-2140.951729.405,25.9,19.6,22.9,0.5,11.5
2005-09-0445.61569.28111,23.5,17.6,20.5,2.1,12.8
2005-09-1150.43725.97139,17.7,15.2,16.3,7.0,14.5
2005-09-25-23.7036-46.6997,21.1,17.1,18.9,22.2,18.5
2005-10-0934.8431136.541,24.6,19.0,20.7,3.2,12.5
2005-10-1631.3389121.22,22.6,9.8,17.5,0.0,3.8
2004-03-07-37.8497144.968,20.6,14.8,16.1,0.0,19.0
2004-03-212.76083101.738,29.3,23.9,26.5,2.1,12.8
2004-04-0426.032550.5106,27.4,23.2,25.3,0.0,37.0
2004-04-2544.343911.7167,16.2,6.8,12.0,0.0,13.8
2004-05-0941.572.26111,16.8,8.6,12.5,0.0,18.0
