precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,year,month,driver_count,results
0.0,37.3,18.4,27.4,20.5,1,2008,3,22,8
9.6,28.7,22.7,25.2,8.5,2,2008,3,22,1
0.0,24.7,20.5,23.3,24.3,3,2008,4,22,1
0.0,20.1,10.5,15.3,12.8,4,2008,4,22,6
0.0,16.1,7.5,12.2,16.9,5,2008,5,20,2
7.4,20.6,14.0,18.5,17.4,6,2008,5,20,5
4.5,29.1,19.0,23.9,22.3,7,2008,6,20,3
0.5,27.9,17.9,22.7,10.3,8,2008,6,20,1
11.8,18.0,11.5,13.9,31.1,9,2008,7,20,2
0.0,22.5,12.5,17.5,19.3,10,2008,7,20,1
0.0,27.1,18.6,22.8,12.6,11,2008,8,20,0
0.0,30.5,21.2,25.5,23.0,12,2008,8,20,2
2.1,15.4,11.2,12.9,27.0,13,2008,9,20,0
6.1,16.3,12.8,14.5,7.9,14,2008,9,20,1
0.4,28.9,25.9,27.6,15.5,15,2008,9,20,3
0.1,17.5,12.2,14.4,7.1,16,2008,10,20,1
0.9,27.0,20.1,22.6,8.8,17,2008,10,20,1
8.8,27.4,15.9,21.0,17.3,18,2008,11,20,2
0.0,22.5,12.9,16.7,15.9,1,2007,3,22,3
4.5,29.5,23.9,26.3,7.6,2,2007,4,22,1
0.0,25.1,22.9,23.9,31.6,3,2007,4,22,2
0.1,24.9,12.7,19.7,21.4,4,2007,5,22,1
3.3,20.3,15.7,18.1,12.8,6,2007,5,22,2
0.4,24.7,13.8,19.6,8.7,7,2007,6,22,5
0.0,33.1,21.7,27.9,10.0,19,2007,6,22,3
4.2,21.5,14.7,18.2,10.9,8,2007,7,22,3
0.0,17.2,7.4,13.4,14.0,9,2007,7,22,1
0.1,17.2,8.6,13.6,21.8,20,2007,7,22,1
0.0,26.0,15.6,21.0,20.0,11,2007,8,22,2
0.3,33.0,22.0,27.3,20.5,5,2007,8,22,0
0.0,25.0,11.8,19.6,9.4,14,2007,9,22,1
0.0,18.5,9.5,15.0,18.4,13,2007,9,22,0
11.6,16.2,13.7,14.3,8.0,16,2007,9,22,5
58.6,26.9,20.5,24.1,38.7,17,2007,10,22,1
2.0,32.4,18.4,24.2,17.6,18,2007,10,22,3
0.0,20.7,17.4,18.8,34.9,3,2006,3,22,0
8.4,28.3,24.0,26.2,11.6,2,2006,3,22,1
0.0,16.6,9.3,13.2,17.3,1,2006,4,22,6
0.0,23.3,10.8,17.3,10.2,21,2006,4,22,1
0.0,17.2,8.1,13.3,18.3,20,2006,5,22,2
0.0,22.9,13.0,18.3,16.6,4,2006,5,22,0
0.0,22.4,17.4,20.1,11.6,6,2006,5,22,1
0.0,23.9,14.3,19.6,12.5,9,2006,6,22,3
0.0,26.5,15.0,21.0,9.1,7,2006,6,22,5
0.0,32.2,22.2,26.9,19.9,19,2006,7,22,10
0.0,32.9,20.9,27.1,11.1,8,2006,7,22,0
0.3,30.8,19.3,25.2,15.2,10,2006,7,22,2
3.9,18.9,14.4,16.6,17.1,11,2006,8,22,3
0.0,33.0,20.8,27.1,12.4,5,2006,8,22,2
0.0,24.7,16.9,20.2,8.2,14,2006,9,22,0
0.4,24.0,19.0,21.3,9.3,17,2006,10,22,1
0.0,20.6,14.9,17.3,37.8,22,2006,10,22,1
0.5,21.2,9.9,15.0,18.3,18,2006,10,22,3
0.1,18.5,12.1,15.3,17.1,1,2005,3,20,2
0.0,32.3,24.7,28.1,15.3,2,2005,3,20,2
0.0,29.2,22.7,26.1,37.2,3,2005,4,20,0
5.1,19.2,9.2,14.0,15.8,21,2005,4,20,1
0.0,20.3,11.9,16.3,16.3,4,2005,5,18,0
