precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,month,driverId,grid,driver_age,constructor,results
5.5,22.7,10.6,15.4,30.4,1,3,20,3,36,6,1
5.5,22.7,10.6,15.4,30.4,1,3,1,1,38,131,1
5.5,22.7,10.6,15.4,30.4,1,3,8,2,44,6,1
5.5,22.7,10.6,15.4,30.4,1,3,817,8,34,9,1
5.5,22.7,10.6,15.4,30.4,1,3,4,10,42,1,1
5.5,22.7,10.6,15.4,30.4,1,3,830,4,26,9,1
5.5,22.7,10.6,15.4,30.4,1,3,807,7,36,4,1
5.5,22.7,10.6,15.4,30.4,1,3,822,15,34,131,1
5.5,22.7,10.6,15.4,30.4,1,3,838,11,31,1,1
5.5,22.7,10.6,15.4,30.4,1,3,832,9,29,4,1
5.5,22.7,10.6,15.4,30.4,1,3,815,12,33,10,1
5.5,22.7,10.6,15.4,30.4,1,3,839,14,27,10,1
5.5,22.7,10.6,15.4,30.4,1,3,844,18,26,15,1
5.5,22.7,10.6,15.4,30.4,1,3,840,13,24,3,1
5.5,22.7,10.6,15.4,30.4,1,3,843,16,33,5,1
5.5,22.7,10.6,15.4,30.4,1,3,154,6,37,210,0
5.5,22.7,10.6,15.4,30.4,1,3,825,5,31,210,0
5.5,22.7,10.6,15.4,30.4,1,3,842,20,27,5,0
5.5,22.7,10.6,15.4,30.4,1,3,828,17,33,15,0
5.5,22.7,10.6,15.4,30.4,1,3,845,19,28,3,0
0.3,24.8,22.3,23.9,21.6,3,4,20,1,36,6,1
0.3,24.8,22.3,23.9,21.6,3,4,822,3,34,131,1
0.3,24.8,22.3,23.9,21.6,3,4,1,9,38,131,1
0.3,24.8,22.3,23.9,21.6,3,4,842,5,27,5,1
0.3,24.8,22.3,23.9,21.6,3,4,825,6,31,210,1
0.3,24.8,22.3,23.9,21.6,3,4,807,7,36,4,1
0.3,24.8,22.3,23.9,21.6,3,4,4,13,42,1,1
0.3,24.8,22.3,23.9,21.6,3,4,838,14,31,1,1
0.3,24.8,22.3,23.9,21.6,3,4,828,17,33,15,1
0.3,24.8,22.3,23.9,21.6,3,4,839,8,27,10,1
0.3,24.8,22.3,23.9,21.6,3,4,832,10,29,4,1
0.3,24.8,22.3,23.9,21.6,3,4,844,19,26,15,1
0.3,24.8,22.3,23.9,21.6,3,4,154,16,37,210,1
0.3,24.8,22.3,23.9,21.6,3,4,840,20,24,3,1
0.3,24.8,22.3,23.9,21.6,3,4,845,18,28,3,1
0.3,24.8,22.3,23.9,21.6,3,4,815,12,33,10,1
0.3,24.8,22.3,23.9,21.6,3,4,843,11,33,5,1
0.3,24.8,22.3,23.9,21.6,3,4,8,2,44,6,0
0.3,24.8,22.3,23.9,21.6,3,4,830,15,26,9,0
0.3,24.8,22.3,23.9,21.6,3,4,817,4,34,9,0
0.0,18.8,6.7,12.6,13.6,17,4,817,6,34,9,1
0.0,18.8,6.7,12.6,13.6,17,4,822,3,34,131,1
0.0,18.8,6.7,12.6,13.6,17,4,8,2,44,6,1
0.0,18.8,6.7,12.6,13.6,17,4,1,4,38,131,1
0.0,18.8,6.7,12.6,13.6,17,4,830,5,26,9,1
0.0,18.8,6.7,12.6,13.6,17,4,807,7,36,4,1
0.0,18.8,6.7,12.6,13.6,17,4,4,13,42,1,1
0.0,18.8,6.7,12.6,13.6,17,4,20,1,36,6,1
0.0,18.8,6.7,12.6,13.6,17,4,832,9,29,4,1
0.0,18.8,6.7,12.6,13.6,17,4,825,11,31,210,1
0.0,18.8,6.7,12.6,13.6,17,4,839,12,27,10,1
0.0,18.8,6.7,12.6,13.6,17,4,815,8,33,10,1
0.0,18.8,6.7,12.6,13.6,17,4,838,14,31,1,1
0.0,18.8,6.7,12.6,13.6,17,4,840,18,24,3,1
