precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,month,year,driverId,grid,driver_age,constructor,driver_count,results
0.0,30.8,18.7,23.7,36.6,1,3,2017,20,2,36,6,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,1,1,38,131,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,822,3,34,131,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,8,4,44,6,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,830,5,26,9,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,13,7,42,3,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,815,10,33,10,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,832,8,29,5,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,826,9,29,5,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,839,13,27,10,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,807,11,36,4,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,841,16,29,15,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,838,18,31,1,20,1
0.0,30.8,18.7,23.7,36.6,1,3,2017,4,12,42,1,20,0
0.0,30.8,18.7,23.7,36.6,1,3,2017,825,17,31,210,20,0
0.0,30.8,18.7,23.7,36.6,1,3,2017,840,20,24,3,20,0
0.0,30.8,18.7,23.7,36.6,1,3,2017,817,0,34,9,20,0
0.0,30.8,18.7,23.7,36.6,1,3,2017,828,14,33,15,20,0
0.0,30.8,18.7,23.7,36.6,1,3,2017,835,19,32,4,20,0
0.0,30.8,18.7,23.7,36.6,1,3,2017,154,6,37,210,20,0
12.5,13.2,9.8,11.4,23.9,17,4,2017,1,1,38,131,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,20,2,36,6,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,830,16,26,9,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,817,5,34,9,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,8,4,44,6,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,822,3,34,131,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,832,11,29,5,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,825,12,31,210,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,815,8,33,10,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,839,17,27,10,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,154,19,37,210,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,807,7,36,4,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,835,20,32,4,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,13,6,42,3,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,828,14,33,15,20,1
12.5,13.2,9.8,11.4,23.9,17,4,2017,4,13,42,1,20,0
12.5,13.2,9.8,11.4,23.9,17,4,2017,826,9,29,5,20,0
12.5,13.2,9.8,11.4,23.9,17,4,2017,838,15,31,1,20,0
12.5,13.2,9.8,11.4,23.9,17,4,2017,841,18,29,15,20,0
12.5,13.2,9.8,11.4,23.9,17,4,2017,840,10,24,3,20,0
0.0,26.7,23.9,25.3,38.1,3,4,2017,20,3,36,6,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,1,2,38,131,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,822,1,34,131,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,8,5,44,6,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,817,4,34,9,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,13,8,42,3,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,815,18,33,10,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,154,9,37,210,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,807,7,36,4,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,839,14,27,10,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,836,13,29,15,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,826,11,29,5,20,1
0.0,26.7,23.9,25.3,38.1,3,4,2017,835,10,32,4,20,1
